"Link","Tytuł","Opis","Tagi","Czas"
"https://www.forbes.pl/life/wydarzenia/iceye-pozyskalo-ponad-miliard-euro-a-do-inwestorow-dolaczyla-nokia/0pvkrvy","Kosmiczny sukces polsko-fińskiego ICEYE – runda finansowania wartą ponad miliard euro","Polsko-fiński lider rozpoznania satelitarnego ICEYE pozyskał w rundzie serii F kwotę 450 mln euro pod wodzą General Atlantic, co przy transakcjach towarzyszących dało łącznie imponujący miliard euro finansowania i wycenę spółki na poziomie 10 miliardów euro. Kluczowym nowym inwestorem strategicznym została fińska Nokia, której technologie bezpiecznej łączności idealnie uzupełniają oferowane przez ICEYE radarowe zobrazowanie Ziemi w czasie rzeczywistym. Spółka współtworzona przez Rafała Modrzewskiego dostarcza suwerenne systemy satelitarne SAR już do 7 europejskich rządów, w tym Polski, Niemiec oraz Finlandii. Absolutnie sukces na skalę europejską, który udowadnia, że w naszym regionie mogą powstawać globalni czempioni technologiczni o strategicznym znaczeniu dla bezpieczeństwa i obronności. To także dowód na to, że nowoczesne państwo musi budować swoje bezpieczeństwo w oparciu o silne, rodzime partnerstwa komercyjne, a nie tylko o zagraniczne zakupy.","Nowości i ogłoszenia, Polska",""
"https://www.apple.com/newsroom/2026/06/apple-unveils-next-generation-of-apple-intelligence-siri-ai-and-more/","WWDC26 od Apple pod znakiem AI","Podczas tegorocznej konferencji WWDC26 Apple zaprezentowało kompleksowy pakiet nowości programistycznych, w tym wyczekiwane systemy iOS 27, macOS 27 oraz iPadOS 27, zdominowane przez integrację z Siri AI. Oprócz głębokich zmian w warstwie modeli językowych, gigant pokazał także rozbudowane, intuicyjne narzędzia kontroli rodzicielskiej, pozwalające na tworzenie bezpieczniejszego środowiska cyfrowego dla dzieci. Wszystkie te nowości, łączące zaawansowane wnioskowanie lokalne z chmurowym, trafią do rąk deweloperów już dzisiaj, a ogólnodostępna wersja beta pojawi się jesienią. Zamiast silić się na efektowne prezentacje w przeglądarkach, firma konsekwentnie dostarcza funkcje, które przeciętny użytkownik odczuje podczas codziennego korzystania z telefonu.","Nowości i ogłoszenia",""
"https://www.anthropic.com/news/claude-fable-5-mythos-5","Anthropic debiutuje z Claude Fable 5 i superbezpiecznym Mythos 5","Anthropic zaprezentowało dwa nowe modele z najwyższej półki wydajnościowej – Claude Fable 5 przeznaczony do ogólnego użytku oraz pozbawiony części barier bezpieczeństwa model Mythos 5, stworzony z myślą o cyberdefensorach we współpracy z rządem USA. Oba warianty oferują niespotykaną dotąd autonomię i potężne możliwości programistyczne, radząc sobie m.in. z ekspresowymi, całościowymi migracjami ogromnych baz kodu. Twórcy zdecydowali się na odważny krok obniżenia cen o połowę względem wersji zapowiadanych, ustalając stawki na poziomie 10 dolarów za milion tokenów wejściowych.","Nowości i ogłoszenia",""
"https://www.aboutamazon.com/news/retail/design-merch-with-ai-alexa-for-shopping","Amazon wprowadza projektowanie ubrań z AI","Amazon udostępnił nową funkcję w asystencie Alexa for Shopping, która pozwala użytkownikom na samodzielne projektowanie unikalnych nadruków na ubraniach i kubkach przy użyciu generatywnego AI. Wystarczy opisać słownie swój pomysł (np. ""buldog francuski w stroju astronauty""), a system w kilka sekund generuje gotową grafikę, dopasowuje jej rozdzielczość i pozwala nanieść ją na wybrany produkt z oferty Merch on Demand. Całość jest w pełni zintegrowana z systemem zamówień Amazona, dzięki czemu spersonalizowany T-shirt czy bluza trafiają do produkcji i zostają dostarczone do klienta w ramach szybkiej wysyłki Prime. Sprytny krok w stronę monetyzacji generatywnego AI w handlu detalicznym, który eliminuje barierę umiejętności graficznych i zamienia luźne, humorystyczne pomysły użytkowników w gotowe, fizyczne produkty w ułamku sekundy.","Nowości i ogłoszenia",""
"https://x.com/ChatGPTapp/status/2062944254591430917","ChatGPT na przeglądarki zyskuje funkcję wysyłania e-maili bezpośrednio z okna edycji","OpenAI ogłosiło nową funkcję, która umożliwia użytkownikom wersji webowej wysyłanie wiadomości e-mail bezpośrednio z bloków edycyjnych. Dzięki temu rozwiązaniu nie trzeba już kopiować wygenerowanej i dopracowanej treści maila do zewnętrznego klienta poczty, takiego jak Gmail czy Outlook. Cały proces – od przygotowania szkicu, przez nanoszenie poprawek, aż po ostateczną wysyłkę – odbywa się wewnątrz jednego interfejsu konwersacyjnego. Od jakiegoś czasu pojawiają się przecieki, że OpenAI chce stworzyć z ChatGPT superaplikację — wdrożenie takiej funkcjonalności jest jednym z częstszych przykładów użycia AI wśród ludzi.","Nowości i ogłoszenia",""
"https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-live-3-5-translate/","Google wprowadza Gemini 3.5 Live Translate – natychmiastowe tłumaczenie mowy w czasie rzeczywistym","Google oficjalnie ogłosiło udostępnienie Gemini 3.5 Live Translate, oferującego naturalne tłumaczenie mowy w czasie zbliżonym do rzeczywistego. Nowa funkcja trafia bezpośrednio do Google AI Studio, Google Translate oraz Google Meet, ułatwiając płynną komunikację głosową między różnymi językami. Technologia opiera się na zaawansowanym przetwarzaniu kontekstu i intonacji, co pozwala na zachowanie naturalnego tonu wypowiedzi i emocji rozmówcy. To świetna innowacja, która realnie przybliża nas do usunięcia barier językowych w codziennej pracy i na spotkaniach biznesowych. Wdrożenie tego rozwiązania bezpośrednio do popularnych narzędzi biurowych Google daje ogromną przewagę nad niszowymi aplikacjami do tłumaczeń, rewolucjonizując współpracę w międzynarodowych zespołach.","Nowości i ogłoszenia",""
"https://blog.google/innovation-and-ai/products/notebooklm/better-research-notebooklm/","Google znacząco ulepsza NotebookLM – teraz z obsługą kodu, nowymi formatami i przeszukiwaniem sieci","Google wprowadziło potężną aktualizację do NotebookLM, przenosząc narzędzie na modele Gemini 3.5 oraz Antigravity. Każdy notatnik został wyposażony w bezpieczny komputer w chmurze, dzięki czemu NotebookLM może pisać i uruchamiać kod, aby przeprowadzać zaawansowane analizy danych i tworzyć wykresy. Dodatkowo użytkownicy mogą teraz generować i pobierać pliki w wielu nowych formatach, takich jak raporty PDF, arkusze kalkulacyjne budżetów czy prezentacje. Bardzo przydatną nowością jest też możliwość rozpoczęcia pracy od luźnych pomysłów – AI potrafi samodzielnie przeszukać sieć i pomóc w zbudowaniu bazy wiarygodnych źródeł. Zmienia to aplikację z prostego narzędzia do podsumowywania dokumentów w pełnoprawne środowisko badawczo-analityczne dla profesjonalistów.","Nowości i ogłoszenia",""
"https://techcrunch.com/2026/06/04/is-silicon-valley-ready-to-put-robots-in-peoples-homes-hello-robot-is/","Hello Robot wprowadza Stretch 4 – robotyczny asystent domowy","Startup Hello Robot zaprezentował czwartą wersję swojego asystenta domowego Stretch 4, który w przeciwieństwie do humanoidalnych konstrukcji konkurencji, stawia na skrajny minimalizm – teleskopowe ramię z chwytakiem osadzone na mobilnej bazie. Urządzenie zostało zaprojektowane z myślą o pracy w realnych domach, pomagając osobom z niepełnosprawnościami w odzyskiwaniu samodzielności przy prostych, codziennych czynnościach, np. czyszczeniu zębów czy samodzielnym jedzeniu. Strategia firmy opiera się na zbieraniu cennych godzin pracy w rzeczywistych warunkach, co pozwala na gromadzenie unikalnych danych szkoleniowych, których nie da się kupić ani zsyntetyzować w laboratorium. Niezwykle pragmatyczne i poruszające podejście do robotyki, które pokazuje, że prawdziwa wartość sztucznej inteligencji leży w niesieniu realnej pomocy, a nie w budowaniu efektownych, ale niepraktycznych produktów.","Nowości i ogłoszenia",""
"https://manus.im/blog/manus-shopify-connector","Manus wprowadza integrację z Shopify – zarządzaj sklepem za pomocą czatu","Platforma Manus ogłosiła oficjalne wdrożenie bezpośredniej integracji z Shopify, co pozwala na budowanie, prowadzenie i rozwijanie e-sklepu w całości z poziomu jednego okna czatu. Od teraz użytkownicy mogą poprosić autonomicznego agenta Manus o stworzenie sklepu od zera, automatyczne zaimportowanie i uporządkowanie katalogu produktów czy zaplanowanie i uruchomienie kampanii marketingowych. Agent potrafi również samodzielnie analizować wyniki sprzedaży, generować raporty finansowe oraz obsługiwać powtarzające się pytania od klientów, komunikując się bezpośrednio z API Shopify. Wkrótce prowadzenie sklepu internetowego może sprowadzać się do nadzorowania wirtualnego menedżera, który wykonuje za nas całą żmudną, codzienną pracę.","Nowości i ogłoszenia",""
"https://about.fb.com/news/2026/06/meta-business-agent/","Meta wprowadza Business Agent – autonomicznego asystenta AI dla firm","Meta wprowadza Business Agent – autonomicznego asystenta AI dedykowanego dla firm, który ma działać jak „nieskończony zespół” wspierający obsługę klienta na WhatsAppie, Messengerze oraz Instagramie. Narzędzie potrafi odpowiadać na pytania klientów, rekomendować produkty, rezerwować terminy spotkań, a także zamykać sprzedaż bezpośrednio w komunikatorach. Dzięki integracji z systemami takimi jak Shopify czy Zendesk, agenci zyskują dostęp do danych o zamówieniach w czasie rzeczywistym. To wyraźny sygnał, że Meta chce zmonetyzować swoje potężne kanały komunikacyjne za pomocą praktycznego AI, oferując firmom gotowe i łatwe we wdrożeniu rozwiązanie. Dla wielu e-sklepów może to być szybki sposób na zautomatyzowanie powtarzalnego wsparcia bez konieczności budowania własnej infrastruktury od zera.","Nowości i ogłoszenia",""
