"Link","Tytuł","Opis","Tagi","Czas"
"https://www.gov.pl/web/cyfryzacja/piaskownice-ai-dla-firm-i-administracji--rusza-nabor","Rusza nabór do piaskownic AI dla firm i administracji w Polsce","Ministerstwo Cyfryzacji ogłasza nabór na budowę centralnego portalu ""piaskownicy AI"" – bezpiecznego środowiska do testowania rozwiązań sztucznej inteligencji przez biznes i sektor publiczny, zgodnego z wymogami unijnego AI Act. Projekt przewiduje dwie ścieżki: regulacyjną, z eksperckim wsparciem przy ocenie zgodności z przepisami dla przedsiębiorców i administracji, oraz technologiczną, z dostępem do polskiej infrastruktury obliczeniowej dla sektora publicznego. Inicjatywę realizuje konsorcjum z udziałem m.in. Ministerstwa Rozwoju i Technologii, Urzędu Ochrony Danych Osobowych oraz akademickich centrów komputerowych, a całość finansowana jest budżetem 35 milionów złotych z Funduszy Europejskich na Rozwój Cyfrowy.","Nowości i ogłoszenia, Polska",""
"https://claude.com/blog/auto-mode-default-in-claude-code","Auto Mode staje się domyślnym trybem w Claude Code","Anthropic ogłasza, że od 14 sierpnia 2026 auto mode będzie domyślnym ustawieniem w Claude Code dla planów Pro, Max i Team. W badaniu na 1053 uczestnikach auto mode zatrzymał 89% niebezpiecznych poleceń, podczas gdy sami użytkownicy wyłapali ich zaledwie 13,6% – ludzie i tak automatycznie klikają ""zatwierdź"", akceptując 97% próśb o uprawnienia. Dzięki temu odsetek sesji z niezamierzonymi szkodami spadł z 6,3% do 2,4%, a zespoły korzystające z auto mode dostarczają około 25% więcej pull requestów. Twardym wyjątkiem pozostaje eksfiltracja danych, która nigdy nie zostanie zatwierdzona automatycznie, a użytkownik w każdej chwili może przełączyć tryb skrótem Shift+Tab.","Nowości i ogłoszenia",""
"https://blog.google/products-and-platforms/products/maps/order-food-in-ask-maps/","Google Maps pozwoli zamawiać jedzenie bezpośrednio przez Ask Maps","Google rozszerza agentowe funkcje Ask Maps – teraz można poprosić asystenta o zamówienie konkretnego dania na wynos w restauracji leżącej na trasie, a Maps samo znajdzie otwarty lokal i doda pozycję do koszyka we współpracy z Square i Toast. Po połączeniu z Gmailem funkcja podpowiada rekomendacje na podstawie istniejących rezerwacji lotów czy hoteli, a nowy widget na żywo pokazuje opóźnienia autobusów, pociągów i promów. Użytkownicy mogą też konwersacyjnie zgłaszać zmiany godzin otwarcia lokali, przesyłając zdjęcia witryn. Funkcje trafiają już do ponad 150 krajów, z rozszerzeniem m.in. na Australię, Brazylię, Kanadę, Indonezję, Japonię i Meksyk – kolejny dowód na to, że Google konsekwentnie zamienia Maps z narzędzia do nawigacji w pełnoprawnego asystenta życia codziennego.","Nowości i ogłoszenia",""
"https://aibuilder.intel.com/#/superclaw","Intel wprowadza SuperClaw – hybrydowego agenta AI","Intel zaprezentował SuperClaw, hybrydowe rozwiązanie agentowe łączące lokalne wykonanie na komputerach Intel AI PC z opcjonalnym routingiem do chmury lub własnego serwera. Narzędzie oferuje gotowe agenty – do kodowania, obsługi maila i głębokiego researchu – oraz integrację ze Slackiem, a rutynowe zadania mają być wykonywane lokalnie, co według Intela daje ponad 50% oszczędności na kosztach tokenów w chmurze. To odpowiedź na rosnące koszty API oraz obawy firm o prywatność danych przesyłanych do modeli chmurowych. Dla przedsiębiorstw, które chcą korzystać z agentów AI bez oddawania kontroli nad danymi, to konkretna alternatywa dla czysto chmurowych rozwiązań – choć wymaga sprzętu klasy Intel Core Ultra Series 3 i sporo pamięci RAM.","Nowości i ogłoszenia",""
"https://lovable.dev/blog/series-c","Lovable pozyskuje 400 mln dolarów w rundzie Series C przy wycenie 13,3 mld dolarów","Lovable, szwedzka platforma do budowania aplikacji za pomocą AI, zamknęła rundę Series C na 400 milionów dolarów, prowadzoną przez Menlo Ventures i EQT, przy wycenie sięgającej 13,3 miliarda dolarów. Od listopada 2024 roku użytkownicy stworzyli na platformie ponad 60 milionów projektów, a aplikacje zbudowane w Lovable notują ponad 900 milionów wizyt miesięcznie, docierając do pracowników niemal dwóch trzecich firm z listy Fortune 500. Firma planuje zwiększyć zespół do około 450 osób i otworzyć biura w Londynie, Bostonie, San Francisco i Nowym Jorku, inwestując w ML, produkt, infrastrukturę i bezpieczeństwo. Rynek narzędzi AI-code wciąż przyciąga gigantyczny kapitał, mimo rosnącej konkurencji ze strony Cursora, Replit czy Bolt.","Nowości i ogłoszenia",""
"https://research.meta.ai/blog/introducing-muse-glimmer-open-agentic-model","Meta udostępnia Muse Glimmer – otwarty model AI zoptymalizowany pod agentów działających lokalnie","Meta Superintelligence Labs wypuściła Muse Glimmer, model liczący 30 miliardów parametrów na licencji Apache 2.0, który po kompresji zajmuje mniej niż 20 GB pamięci wobec 55 GB w pełnej precyzji i działa na konsumenckich kartach graficznych, w tym na RTX 5090 oraz komputerach Mac. Model został zoptymalizowany pod lokalne przepływy pracy agentów działających bez połączenia z internetem, obsługuje wieloetapowe rozumowanie, precyzyjne wywoływanie narzędzi, multimodalność oraz ponad 100 języków. Dzięki technice spekulacyjnego dekodowania generowanie tekstu przyspiesza nawet 3,1-krotnie na RTX 5090 oraz 1,8-krotnie na Macu z chipem M5 Max. Model jest dostępny na Hugging Face ze wsparciem dla llama.cpp, MLX i ExecuTorch, co czyni go jednym z konkretniejszych ruchów Mety w stronę otwartych modeli działających naprawdę lokalnie, a nie tylko w chmurze.","Nowości i ogłoszenia",""
"https://techcrunch.com/2026/08/05/meta-launches-muse-code-an-ai-agent-for-large-code-bases/","Meta uruchamia Muse Code – agenta AI do pracy z dużymi bazami kodu","Meta wypuściła w wersji beta Muse Code, agenta AI przeznaczonego do pracy z dużymi repozytoriami kodu – planuje zmiany, pisze kod i waliduje wyniki, korzystając z modelu Muse Spark. W testach narzędzie potrafiło równolegle zbudować sześć funkcji gry bez konfliktów między nimi, a instaluje się jednym poleceniem z terminala. Aleksandr Wang, szef AI w Meta, pozycjonuje Muse Code jako ""niedrogą opcję"" konkurencyjną wobec Codexa od OpenAI i Claude Code od Anthropic, stawiając na cenę zamiast przewagi w możliwościach. To element szerszej ofensywy Mety w stronę narzędzi agentowych dla programistów i biznesu, po tym jak firma weszła też na rynek agentów obsługujących klientów.","Nowości i ogłoszenia",""
"https://newsroom.spotify.com/2026-08-11/ai-persona-badges-transparency/","Spotify wprowadza oznaczenia „AI Persona” dla profili wirtualnych artystów","Spotify zapowiada, że od września 2026 roku profile artystów będących w całości tworami AI będą oznaczone specjalną plakietką ""AI Persona"", widoczną na profilu, w wynikach wyszukiwania i na stronach utworów. Artyści mogą sami zgłosić taki status, a Spotify dodatkowo przeprowadza własny przegląd i nakłada oznaczenie na profile z fotorealistycznymi wizerunkami generowanymi przez AI, dając im możliwość odwołania się od decyzji. Domyślnie takie profile nie trafią do rekomendacji redakcyjnych ani algorytmicznych, co ogranicza ich naturalny zasięg w porównaniu z prawdziwymi wykonawcami. To element szerszej strategii transparentności Spotify obejmującej też Verified by Spotify, AI Credits i SongDNA – odpowiedź na rosnącą falę w pełni AI-owych ""artystów"" zalewających platformy streamingowe.","Nowości i ogłoszenia",""
"https://x.ai/news/grok-4-6","xAI prezentuje Grok 4.6 z naciskiem na długo działających agentów","xAI oficjalnie ogłasza Grok 4.6, rozwinięcie Grok 4.5 skoncentrowane na długo działających agentach oraz bardziej ambitnych, interaktywnych i wizualnych projektach. Model dorównuje GPT-5.6 Sol w indeksie inteligencji Artificial Analysis (wynik 61) i wyróżnia się zwłaszcza w przekształcaniu koncepcji produktowych w działające prototypy, a także w częstszej samoweryfikacji własnej pracy przed jej oddaniem. W benchmarkach programistycznych osiąga 69,9% w CursorBench v3.2 i 65,9% w DeepSWE v1.1, a dostępny jest w Cursorze, Grok Build oraz przez API w cenie 2 USD za milion tokenów wejściowych i 6 USD za wyjściowe, z podwójnym darmowym limitem w pierwszym tygodniu.","Nowości i ogłoszenia",""
"https://swistak.codes/post/mity-ai/","Sztuczna inteligencja: mity a rzeczywistość","Tomasz Świstak, programista z doświadczeniem w projektach AI, rozprawia się z najpopularniejszymi mitami krążącymi wokół sztucznej inteligencji – od utożsamiania AI wyłącznie z LLM-ami, przez przekonanie o ich świadomości, po twierdzenia, że AGI już istnieje albo że narzędzia typu OpenClaw to ""prawdziwa"" ogólna sztuczna inteligencja. Tłumaczy przystępnie, jak działają transformery i mechanizm uwagi, czym różnią się modele dyfuzyjne oraz dlaczego efekt Elizy sprawia, że ludzie naturalnie, a często też celowo za sprawą projektantów produktów, antropomorfizują nawet proste programy. Powołuje się przy tym na hierarchię poziomów AGI zaproponowaną przez Google DeepMind, pokazując, że dzisiejsze systemy są co najwyżej na jej najniższym szczeblu. Tekst, który łączy solidne podstawy techniczne z chłodnym, sceptycznym spojrzeniem na marketingowy szum wokół AI.","Bliżej technologii, Polska",""
