"Link","Tytuł","Opis","Tagi","Czas"
"https://openai.com/index/developers-can-now-submit-apps-to-chatgpt","Deweloperzy mogą teraz przesyłać aplikacje do ChatGPT","Wcześniej w tym roku OpenAI ogłosiło, że aplikacje w ramach ChatGPT. Test udostępniło developerom możliwość zgłaszania swoich aplikacji do review i publikacji. Czyżby stanowisko “ChatGPT App Developer” już wkrótce pojawiło się na tablicach ogłoszeń? Warto się zastanowić jak można wykorzystać tą okazję.","Artykuł, OpenAI",""
"https://manus.im/blog/manus-joins-meta-for-next-era-of-innovation","Manus dołącza do Meta w nowej erze innowacji","Co w tym niezwykłego? Przecież przejęcie firm AI teraz dzieją się na porządku dziennym. Po pierwsze: Manus to firma chińska, więc mamy tutaj ciekawy przypadek na styku USA-Chiny. Po drugie: Meta wydaje ~2 miliardy $ na firmę, która sama nie udostępnia modeli LLM, a już rozwiązania bazujące na innych modelach.","Artykuł, Meta",""
"https://sankalp.bearblog.dev/my-experience-with-claude-code-20-and-how-to-get-better-at-using-coding-agents/","Przewodnik po Claude Code 2.0 i doskonaleniu umiejętności korzystania z agentów kodujących","Kompleksowy artykuł opisujący Claude Code. Jeżeli chcesz to narzędzie poznać, przetestować albo zobaczyć czy można z niego korzystać lepiej - warto przynajmniej rzucić okiem.","Artykuł, Claude, Technicznie",""
"https://www.cnbc.com/2025/12/24/nvidia-buying-ai-chip-startup-groq-for-about-20-billion-biggest-deal.html","Nvidia kupuje aktywa firmy Groq zajmującej się układami AI za około 20 miliardów dolarów w ramach największej transakcji w historii","Nvidia dokonuje największego zakupu w swojej historii, nabywając aktywa od 9-letniego startupu Groq, zajmującego się chipami, za około 20 miliardów dolarów. Firma została założona przez twórców procesora Tensor Processing Unit (TPU) firmy Google, który konkuruje z Nvidią w zakresie zadań związanych ze sztuczną inteligencją. Groq został wyceniony na 6,9 miliarda dolarów we wrześniowej rundzie finansowania.","Artykuł, Nvidia",""
"https://ai-visibility-index.semrush.com/award-winners","Laureaci nagrody Semrush AI Visibility Award za rok 2025","Ciekawy konkurs na to, jaka marka najlepiej sobie radzi w “byciu wyszukiwalną” w narzędziach AI. Nie dziwi, że w większości zobaczymy tam duże marki jak Google czy Patagonia, ale warto zapoznać się z metodologią tego badania, czyli jak weryfikowała widoczność marek w różnych kategoriach.","Artykuł, Ciekawostka",""
"https://workspaceupdates.googleblog.com/2025/12/transform-sources-structured-data-tables-notebooklm.html","Przekształć źródła w ustrukturyzowane tabele danych w NotebookLM","Jeżeli nie używasz NotebookLM - polecam zapoznać się z narzędziem. Jeżeli używasz - ta funkcja może Ci się przydać jeżeli większość Twojej pracy kończy jako “tabelka w excelu”.","Artykuł, Google, Narzędzia",""
"https://www.youtube.com/watch?v=gMmY2fjFOzE","Sztuczna inteligencja wygląda DOKŁADNIE jak bańka internetowa","Pytanie: “Czy AI to bańka?” wisi w powietrzu już od jakiegoś czasu. W tym filmiku autor porównuje obecne czasy AI z bańką dot-comową z okolic 2000 roku. Polecam każdemu, kto choć trochę interesuje się ekonomią.","Finanse, Video","16 min"
"https://www.youtube.com/watch?v=D0230eZsRFw","Legendarny inwestor przedstawia swoją tezę na temat sztucznej inteligencji w 14 minut – Bill Gurley","Bill Gurley jest amerykańskim inwestorem VC. Kolejny filmik dla ludzi interesujących się finansami i zainteresowanych perspektywą osób wykładających duże pieniądze w branży IT.","Finanse, Video","14 min"
"https://github.com/ComposioHQ/awesome-claude-skills","Awesome Claude Skills","Lista praktycznych umiejętności Claude'a służących zwiększeniu produktywności w środowisku claude.ai, Claude Code i Claude API. Warto przejrzeć jeżeli ktoś nie chce wymyślać koła na nowo.","Claude, Repozytorium",""
"https://maarthandam.com/2025/12/25/salesforce-regrets-firing-4000-staff-ai/","Salesforce żałuje zwolnienia 4000 doświadczonych pracowników i zastąpienia ich sztuczną inteligencją","Jak się okazuje, nie wszystko złoto co się świeci. AI może dużo, ale nie wszystko (być może “jeszcze”). Tak czy siak, Salesforce przekonało się o tym na własnej skórze i musi odrobinę skorygować swój kierunek.","Artykuł, Ciekawostka",""
"https://ngrok.com/blog/prompt-caching","Prompt caching: 10x tańsze tokeny LLM, ale jak?","Koszt użycia LLMów to coś, co warto mieć na uwadze przy wykorzystywaniu tej technologii, a prompt caching jest jedną z metod jak koszty można ograniczyć. Artykuł bardzo fajnie tłumaczy jak Prompt Caching działa, polecam!","Artykuł, Technicznie",""
"https://www.ashpreetbedi.com/articles/memory","Pamięć: jak uczą się agenci","Kolejny, bardziej techniczny, artykuł o tym czym jest “pamięć” dla agenta AI. Warto się zapoznać, zarówno z perspektywy tworzenia jak i wykorzystywania agentów AI.","Artykuł, Technicznie",""
"https://karpathy.bearblog.dev/year-in-review-2025/","Podsumowanie roku LLM 2025 by Karpathy","Andrej Karpathy jest ekspertem w świecie AI. Tutaj niewiele trzeba pisać, po prostu warto się zapoznać z jego perspektywą na to jak przebiegł rok 2025 w świecie LLMów.","Artykuł, Technicznie",""
"https://www.kapwing.com/blog/ai-slop-report-the-global-rise-of-low-quality-ai-videos","Raport AI Slop: Globalny wzrost niskiej jakości filmów generowanych AI","Czy wiesz, że hiszpański kanał YT “Imperio de jesus” ma ponad 6mln subskrybentów? A treści tam są generowane tylko dzięki (albo przez) AI. Artykuł tłumaczy czym jest “AI Slop” oraz pokazuje skalę tego zjawiska.","Ciekawostka, Raport",""
"https://www.testingcatalog.com/notion-tests-new-internal-models-and-ai-first-workspaces/","Notion testuje nowe modele wewnętrzne i przestrzenie robocze oparte na AI","Notion bardzo mocno kieruje się w stronę AI. Oprócz masy startupów z nowymi aplikacjami warto zobaczyć jak istniejące, duże produkty robią zwrot w stronę AI i jak podchodzą do tej technologii.","Artykuł, Narzędzia",""
"https://get.levanta.io/ai","Rozwój sztucznej inteligencji sprawia, że marketing afiliacyjny staje się kluczowy dla marek e-commerce","Ciekawe badanie z US w branży eCommerce, z którego wynika, że chociaż modele językowe i chaty AI wdarły się mocno do społeczeństwa, generując rekordowe tempo adaptacji, to konwersja zakupów przez rekomendowanych przez AI jest poniżej 10%, a klienci nadal szukają potwierdzenia w “ludzkich” źródłach.","Ecommerce, Raport",""
