"Link","Tytuł","Opis","Tagi","Czas"
"https://x.com/Google/status/2024519455389192204","Google wydaje Gemini 3.1 Pro","Gemini 3.1 Pro to nowy punkt odniesienia w rozwiązywaniu złożonych problemów. Ten model stanowi ogromny krok naprzód w rozumowaniu podstawowym, potwierdzony wynikiem 77,1% w teście ARC-AGI-2 — testującym zdolność do rozwiązywania zupełnie nowych wzorców logicznych. To ponad dwukrotnie większa wydajność niż w wersji 3 Pro.","Nowości i ogłoszenia",""
"https://blog.google/innovation-and-ai/products/gemini-app/lyria-3/","Twórz muzykę z Lyria 3 w aplikacji Gemini","Google udostępnia w Gemini model muzyczny Lyria 3. Umożliwia on generowanie 30-sekundowych utworów na podstawie tekstu lub obrazu. Co ciekawe, model sam potrafi napisać tekst piosenki. To odpowiedź Google na rosnącą popularność generatorów audio, takich jak Suno.","Nowości i ogłoszenia",""
"https://z.ai/blog/glm-5","GLM-5: Nowy model od Z.ai","Z.ai prezentuje GLM-5, model stworzony z myślą o skomplikowanych zadaniach inżynierskich i agentowych. Model wyróżnia się w benchmarkach kodowania i rozumowania, a mówimy tu o open-source. Potężne narzędzie dla tych, którzy potrzebują „ciężkiej artylerii"" w swoich projektach.","Nowości i ogłoszenia",""
"https://steipete.me/posts/2026/openclaw","Twórca OpenClaw dołącza do OpenAI","Peter Steinberger, twórca OpenClaw, dołącza do zespołu OpenAI. Będzie tam pracował nad nową generacją osobistych agentów AI. OpenClaw pozostanie projektem open-source, wspieranym przez fundację i OpenAI. Jasny sygnał, że gigant stawia na rozwój autonomicznych agentów oraz pozyskiwanie talentów z rynku.","Nowości i ogłoszenia",""
"https://openai.com/pl-PL/index/introducing-gpt-5-3-codex-spark/","GPT-5.3-Codex-Spark: nowy model od OpenAI","OpenAI prezentuje nowy model: GPT-5.3-Codex-Spark. To wyspecjalizowana jednostka do programowania w czasie rzeczywistym, która ma być aż 15 razy szybsza w generowaniu kodu. Model powstał we współpracy z firmą Cerebras i jest dostępny w wersji poglądowej. Jeśli czekasz na AI, które nadąża za Twoim tokiem myślenia podczas kodowania, to może być przełom.","Nowości i ogłoszenia",""
"https://x.com/kimi_moonshot/status/2023029674549596301","Kimi i „The Claw"" – agenty wchodzą do webu","Moonshot AI (twórcy Kimi) integrują swoje rozwiązania z „The Claw"" (OpenClaw). To połączenie pozwala agentom na swobodne poruszanie się po sieci i wykonywanie zadań. Wygląda na to, że rok 2026 będzie rokiem integracji i współpracy między różnymi systemami agentowymi.","Nowości i ogłoszenia",""
"https://www.uber.com/newsroom/the-shortcut-your-grocery-lists-been-waiting-for/","Asystent AI w Uber Eats pomoże zrobić zakupy","Uber Eats wprowadza „Cart Assistant"" – funkcję, która pozwoli Ci wpisać listę zakupów (lub wrzucić zdjęcie przepisu), a AI samo skompletuje koszyk. Koniec z ręcznym szukaniem każdego produktu. Proste, ale bardzo użyteczne zastosowanie AI w codziennym życiu.","Nowości i ogłoszenia",""
"https://manus.im/blog/manus-agents-telegram","Manus wchodzi na Telegrama","Manus, platforma agentowa zakupiona przez Meta, udostępnia integrację z komunikatorem Telegram. Dzięki temu zaawansowany asystent AI jest dostępny bezpośrednio w czacie aplikacji – krok w stronę agentowej sztucznej inteligencji dostępnej wszędzie.","Nowości i ogłoszenia",""
"https://www.figma.com/blog/introducing-claude-code-to-figma/","Z Claude Code do Figmy: Zamień kod na edytowalny design","Figma integruje się z Claude Code, umożliwiając importowanie gotowego kodu bezpośrednio na „płótno"" jako edytowalne warstwy. To odwrócenie tradycyjnego procesu (design -> kod) otwiera nowe możliwości dla developerów i designerów. Szybkie prototypowanie na podstawie istniejących komponentów staje się faktem.","Nowości i ogłoszenia",""
"https://www.anthropic.com/news/claude-sonnet-4-6","Premiera Claude Sonnet 4.6 od Anthropic","Anthropic prezentuje Claude Sonnet 4.6 – „pełny upgrade"" możliwości modelu. Nowa wersja jest lepsza w kodowaniu, obsłudze komputera i długim rozumowaniu. Firma stawia na wszechstronność, pozycjonując Sonnet jako idealny balans między szybkością a inteligencją.","Nowości i ogłoszenia",""
